node1.weight[0],node1.bias[0],node2.weight[0],node2.bias[0],edge1->2.weight[0],edge1->2.bias[0]
0.48584938,1.9959965,0.21860652,1.9177375,0.16016321,-0.10305643
0.48461586,1.9919739,0.021590501,2.2743683,0.25774822,-0.28490445
0.4831868,1.9959402,0.21621878,1.9295101,0.16316995,-0.1102965
0.48880997,2.0009842,0.16651833,2.050778,0.19060549,-0.17153889
0.49060303,1.9996072,0.1488571,2.0772095,0.19930519,-0.1850856
0.49011254,2.0023706,0.17614359,2.012701,0.1811511,-0.14913906
0.48598352,2.0007124,0.15386781,2.0537994,0.19591884,-0.17415787
0.48887083,1.9944694,0.22654898,1.8960273,0.15502498,-0.09067349
0.48684037,2.00013,0.20694119,1.9623219,0.16699205,-0.124538876
0.4914644,1.9982517,0.10708368,2.1284733,0.21557555,-0.20878679
0.4890013,2.0006025,0.1822548,2.0053353,0.1797682,-0.14708352
0.49039102,1.9968188,0.12185058,2.092663,0.2112396,-0.19379404
0.49740475,2.0181105,0.23955205,1.8692646,0.14814323,-0.07169315
0.48682666,1.9929123,0.157689,2.0486197,0.19500095,-0.17310703
0.48571846,1.9981209,0.17479008,2.0219898,0.18593095,-0.15862554
0.48729065,1.9893209,0.047817275,2.2223024,0.2440563,-0.25812486
0.49075258,1.9864672,0.23643494,1.9051592,0.14974272,-0.09318879
0.4978592,1.998276,0.20449056,1.9499094,0.16632316,-0.11525913
0.48846236,1.9994518,0.1556103,2.047165,0.19411907,-0.16986303
0.49348795,1.9956651,0.13367163,2.1005182,0.2049962,-0.19492805
0.49185514,2.0142272,0.24596259,1.8526862,0.14544967,-0.063993275
0.4908929,2.0008047,0.18567243,2.018829,0.18004894,-0.15324925
0.4875881,1.9955769,0.10332869,2.1470294,0.22322986,-0.22331989
0.49273005,1.9961164,0.1432448,2.0846438,0.20090483,-0.18769522
0.49198326,1.9980234,0.12023884,2.1218696,0.21069337,-0.20534909
0.48574138,1.9953158,0.1670397,2.031648,0.19085473,-0.16464858
0.48728555,1.9978123,0.046619445,2.2467198,0.24581549,-0.26886132
0.48236722,1.992674,0.1860449,1.9961951,0.18322307,-0.1488129
0.49224925,1.9997811,0.19208968,1.946985,0.17181471,-0.11533997
0.4862683,1.9954488,0.18965688,1.9733553,0.17696854,-0.13390702
0.48849356,1.9998316,0.20521897,1.9429761,0.1659199,-0.11453057
0.4886441,1.9983739,0.15420468,2.036922,0.19312021,-0.16404605
0.48801455,1.9963536,0.13141546,2.1048355,0.2092584,-0.20144218
0.48321193,1.9942499,0.2327506,1.8809805,0.15421368,-0.08567281
0.48396936,2.0025864,0.20050949,1.9776428,0.17218658,-0.1342451
0.49090216,1.9952488,0.15758164,2.0523274,0.19638085,-0.17465946
0.48768288,1.9992464,0.17633498,2.02477,0.18430582,-0.1583465
0.4896338,2.0016756,0.21389444,1.9638865,0.16543381,-0.12317871
0.48889512,1.9991958,0.19669,1.9831953,0.17279895,-0.13551033
0.50056195,1.9952712,0.17425974,2.005308,0.18451378,-0.14613873
0.48735595,1.9980727,0.12739748,2.0995862,0.21086255,-0.19902167
0.491243,1.9946221,0.17799355,1.9897232,0.17831713,-0.13555656
0.49013352,2.0007284,0.12936917,2.1062498,0.2068572,-0.1984703
0.48655453,1.994671,0.18560682,1.9627664,0.17606632,-0.1262985
0.4922361,1.9882492,0.15102835,2.0458617,0.19967952,-0.17310682
0.4888034,1.9908271,0.23438293,1.8688724,0.14699586,-0.073979445
0.48667532,2.0014997,0.17234096,2.0086732,0.18353072,-0.14856802
